업태구분명,소재지전체주소
호프/통닭,서울특별시 종로구 내자동 163 2층 
호프/통닭,서울특별시 종로구 창신동 302-5 
호프/통닭,서울특별시 종로구 숭인동 1263 수도회화전문확원 
호프/통닭,서울특별시 종로구 창신동 583-95번지 
호프/통닭,서울특별시 종로구 종로5가 249번지 
호프/통닭,"서울특별시 종로구 관철동 7-4 1, 2층 "
호프/통닭,서울특별시 종로구 종로5가 27-1 1층 
호프/통닭,서울특별시 종로구 창신동 406-1 2층 
호프/통닭,서울특별시 종로구 묘동 175 이화빌딩 
호프/통닭,서울특별시 종로구 청진동 165-5번지 
호프/통닭,서울특별시 종로구 관수동 21-2번지 
호프/통닭,서울특별시 종로구 혜화동 89-1 
호프/통닭,서울특별시 종로구 관훈동 155-2 
호프/통닭,서울특별시 종로구 종로5가 398-16번지 
호프/통닭,서울특별시 종로구 창신동 433-1번지 
호프/통닭,서울특별시 종로구 통의동 35-97번지 
호프/통닭,서울특별시 종로구 명륜3가 1-215번지 
호프/통닭,서울특별시 종로구 창신동 687-4 
통닭(치킨),서울특별시 종로구 동숭동 1-58 
호프/통닭,서울특별시 종로구 명륜2가 195-11번지 지상1층 
호프/통닭,서울특별시 종로구 관철동 10-2번지 
호프/통닭,서울특별시 종로구 사직동 217-1번지 
호프/통닭,서울특별시 종로구 명륜2가 143-9번지 2층 
호프/통닭,서울특별시 종로구 평창동 325 
호프/통닭,서울특별시 종로구 종로3가 6번지 
호프/통닭,서울특별시 종로구 돈의동 170-0번지 
호프/통닭,서울특별시 종로구 관철동 19-20번지 
호프/통닭,서울특별시 종로구 명륜2가 39-0번지 
호프/통닭,서울특별시 종로구 창신동 217-1번지 
호프/통닭,서울특별시 종로구 도렴동 60번지 지하1층 43호 
호프/통닭,서울특별시 종로구 숭인동 217-9번지 
호프/통닭,서울특별시 종로구 도렴동 115-4번지 
호프/통닭,서울특별시 종로구 관철동 7-17번지 
호프/통닭,서울특별시 종로구 창신동 583-6번지 
통닭(치킨),서울특별시 종로구 숭인동 202-3번지 지상1층 
호프/통닭,서울특별시 종로구 혜화동 136번지 
호프/통닭,서울특별시 종로구 교북동 12-15번지 
호프/통닭,서울특별시 종로구 낙원동 194번지 덕우빌딩 
호프/통닭,서울특별시 종로구 돈의동 152-2번지 
호프/통닭,서울특별시 종로구 동숭동 1-96번지 
호프/통닭,서울특별시 종로구 동숭동 1-48번지 
호프/통닭,서울특별시 종로구 부암동 185-5번지 
호프/통닭,서울특별시 종로구 종로3가 6번지 
호프/통닭,서울특별시 종로구 적선동 97번지 
호프/통닭,서울특별시 종로구 숭인동 65-22번지 
호프/통닭,서울특별시 종로구 명륜2가 24-4번지 
호프/통닭,서울특별시 종로구 홍지동 46-1번지 지상1층 
호프/통닭,서울특별시 종로구 숭인동 1262번지 
호프/통닭,서울특별시 종로구 명륜2가 176번지 
