업태구분명,소재지전체주소
호프/통닭,서울특별시 광진구 화양동 111-72 
호프/통닭,서울특별시 광진구 구의동 254-3 
호프/통닭,서울특별시 광진구 중곡동 82-3 
호프/통닭,서울특별시 광진구 구의동 80-34 
호프/통닭,서울특별시 광진구 자양동 584-28 (1층) 
호프/통닭,서울특별시 광진구 중곡동 169-31 
호프/통닭,서울특별시 광진구 화양동 9-86 
호프/통닭,서울특별시 광진구 군자동 355-10번지 
호프/통닭,서울특별시 광진구 중곡동 648-15 
호프/통닭,서울특별시 광진구 화양동 11-11 
호프/통닭,서울특별시 광진구 구의동 71-26 102호 
통닭(치킨),서울특별시 광진구 중곡동 231-8번지 
호프/통닭,서울특별시 광진구 화양동 45-71 (2층) 
호프/통닭,서울특별시 광진구 구의동 52-1 
호프/통닭,서울특별시 광진구 화양동 42-22 
호프/통닭,서울특별시 광진구 화양동 3-30 지하1층 
호프/통닭,서울특별시 광진구 자양동 774-28 
호프/통닭,서울특별시 광진구 자양동 552-2번지 
호프/통닭,서울특별시 광진구 중곡동 240-8 
호프/통닭,서울특별시 광진구 구의동 257-72 
호프/통닭,서울특별시 광진구 화양동 8-1번지 
호프/통닭,서울특별시 광진구 화양동 47-67 2층 
호프/통닭,서울특별시 광진구 화양동 9-76번지 
호프/통닭,서울특별시 광진구 중곡동 241-31번지 
호프/통닭,서울특별시 광진구 자양동 624-42 
호프/통닭,서울특별시 광진구 자양동 52-3번지 1층 
호프/통닭,서울특별시 광진구 중곡동 164-8 
호프/통닭,서울특별시 광진구 구의동 30-15 
호프/통닭,서울특별시 광진구 능동 223-6 
호프/통닭,서울특별시 광진구 화양동 5-72 
호프/통닭,서울특별시 광진구 화양동 7-33 
호프/통닭,서울특별시 광진구 화양동 5-20 지하 1층 
호프/통닭,서울특별시 광진구 구의동 246-16 
호프/통닭,서울특별시 광진구 광장동 186 1층102호 
호프/통닭,서울특별시 광진구 중곡동 244-9번지 1층 
호프/통닭,서울특별시 광진구 중곡동 77-26번지 (1층) 
호프/통닭,서울특별시 광진구 구의동 257-123 (2층) 
호프/통닭,서울특별시 광진구 능동 223-1 
호프/통닭,"서울특별시 광진구 자양동 606-44번지 ,45 "
호프/통닭,서울특별시 광진구 구의동 71-9 (1층) 
통닭(치킨),서울특별시 광진구 자양동 553-376 원우상가 
호프/통닭,서울특별시 광진구 중곡동 79-10 
호프/통닭,서울특별시 광진구 능동 222-5 
호프/통닭,서울특별시 광진구 화양동 33-21 (1층) 
호프/통닭,서울특별시 광진구 자양동 637-2번지 
호프/통닭,서울특별시 광진구 구의동 559-8 힐그린빌1 지하 B03호
호프/통닭,서울특별시 광진구 화양동 495-23 
호프/통닭,서울특별시 광진구 화양동 213 
호프/통닭,서울특별시 광진구 중곡동 199-27번지 
호프/통닭,서울특별시 광진구 화양동 7-33 
호프/통닭,서울특별시 광진구 중곡동 163-4 1층101호 
호프/통닭,서울특별시 광진구 구의동 254-114번지 1층 
호프/통닭,서울특별시 광진구 자양동 45-17번지 (지하1층) 
통닭(치킨),서울특별시 광진구 군자동 117-23번지 (1층) 
호프/통닭,서울특별시 광진구 중곡동 640-3 1층 
호프/통닭,서울특별시 광진구 구의동 594-1번지 
호프/통닭,서울특별시 광진구 중곡동 117-33번지 지하1층 
호프/통닭,서울특별시 광진구 중곡동 555-1번지 1층 
호프/통닭,서울특별시 광진구 자양동 637 1층 일부 
호프/통닭,서울특별시 광진구 구의동 257-70 
호프/통닭,서울특별시 광진구 중곡동 94-13 
호프/통닭,서울특별시 광진구 자양동 606-9 
호프/통닭,서울특별시 광진구 광장동 244-24 2층 
호프/통닭,서울특별시 광진구 화양동 16-28번지 1층 
호프/통닭,서울특별시 광진구 군자동 476-18 
호프/통닭,서울특별시 광진구 구의동 251-62번지 1층 
호프/통닭,서울특별시 광진구 화양동 8-37 (2층) 
호프/통닭,서울특별시 광진구 구의동 242-49 
호프/통닭,서울특별시 광진구 군자동 473-11 지하1층 
호프/통닭,서울특별시 광진구 군자동 146-10 1층 
호프/통닭,서울특별시 광진구 화양동 34-12번지 1층 
호프/통닭,서울특별시 광진구 화양동 515번지 (1층) 
호프/통닭,서울특별시 광진구 구의동 252-2 
호프/통닭,서울특별시 광진구 구의동 257-122 2층 
호프/통닭,서울특별시 광진구 군자동 474-50번지 
호프/통닭,서울특별시 광진구 중곡동 50-3번지 (1층) 
호프/통닭,서울특별시 광진구 중곡동 115-20번지 
호프/통닭,서울특별시 광진구 화양동 9-36번지 
통닭(치킨),서울특별시 광진구 자양동 612-41 1층 
호프/통닭,서울특별시 광진구 중곡동 55-2 
호프/통닭,서울특별시 광진구 자양동 679-33 
호프/통닭,서울특별시 광진구 자양동 580-1 외2필지 
호프/통닭,서울특별시 광진구 구의동 248-137번지 
호프/통닭,서울특별시 광진구 중곡동 607-3 
호프/통닭,서울특별시 광진구 화양동 7-42 
호프/통닭,서울특별시 광진구 화양동 7-29 지하1층 
호프/통닭,서울특별시 광진구 화양동 47-73 
호프/통닭,서울특별시 광진구 중곡동 241-1번지 
호프/통닭,서울특별시 광진구 화양동 9-80 
통닭(치킨),서울특별시 광진구 화양동 12-40번지 
호프/통닭,서울특별시 광진구 화양동 111-119번지 
통닭(치킨),서울특별시 광진구 화양동 15-62번지 
호프/통닭,서울특별시 광진구 자양동 808 1층 
호프/통닭,서울특별시 광진구 화양동 8-29 
호프/통닭,서울특별시 광진구 화양동 8-26 
호프/통닭,서울특별시 광진구 중곡동 115-22번지 (2층) 
호프/통닭,서울특별시 광진구 군자동 48-6번지 (1층) 
